logo,program title,area of study,credit for prior learning,program desc,accreditation,career outlook,admission requirements,dates and deadlines,tuition and fees,program level,total hours,projected cost,university
https://images.unsplash.com/photo-1531630142108-cb432ed39657?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Biological Science,Arts,TRUE,Debitis velit vel. Autem ea voluptatibus. Nisi temporibus dolores.,DASH,Labore vel omnis. Perferendis corporis sed. Quas beatae nobis.,Quae quia quia. Eos voluptatibus earum. Nam fugit incidunt.,Application Deadline: 2019-03-29 | 8 Days Until Classes Begin!,Projected Per Credit Hour Cost: $259,Nursery school,122,$447 ,Georgia Highlands College
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Forensic Science,Architectural Technology,FALSE,Et et repudiandae. Laudantium tempore qui. Omnis perspiciatis delectus.,ETH,Quas consequatur aspernatur. Accusantium voluptatum amet. Error et consequatur.,Doloremque excepturi quos. Omnis delectus tempore. In dolores et.,Application Deadline: 2019-04-01 | 35 Days Until Classes Begin!,Projected Per Credit Hour Cost: $47,Master's degree,108,"$12,903 ",Atlanta Metropolitan State College
https://images.unsplash.com/photo-1531630142108-cb432ed39657?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Teaching,Arts,TRUE,Qui alias molestiae. Quia in nihil. Ea temporibus consequatur.,XRP,Voluptatem et totam. Provident sit eum. Enim error id.,Aliquid perspiciatis pariatur. Ut est nulla. Dignissimos et excepturi.,Application Deadline: 2019-04-03 | 24 Days Until Classes Begin!,Projected Per Credit Hour Cost: $200,Master's degree,132,"$11,197 ",Georgia State University
https://images.unsplash.com/photo-1496469888073-80de7e952517?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Teaching,Medicine,FALSE,Qui neque voluptatem. Voluptatum nostrum quia. Consequatur corrupti distinctio.,LTC,Harum quo natus. Cupiditate et eos. Error adipisci eius.,Ex veniam maxime. Cupiditate eos provident. Impedit voluptas nulla.,Application Deadline: 2019-03-29 | 26 Days Until Classes Begin!,Projected Per Credit Hour Cost: $388,Master's degree,118,"$3,759 ",East Georgia State College
https://images.unsplash.com/photo-1496469888073-80de7e952517?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Psychology,Design,TRUE,Distinctio est eos. Enim maiores ab. Porro aut suscipit.,ETH,Doloremque reiciendis necessitatibus. Blanditiis dolor magni. Libero et numquam.,Voluptatem laboriosam veniam. Quis voluptatum ut. Id provident ut.,Application Deadline: 2019-04-01 | 31 Days Until Classes Begin!,Projected Per Credit Hour Cost: $327,Bachelor's degree,11,$491 ,Kennesaw State University
https://images.unsplash.com/photo-1532043772213-09a6cec77cfa?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Biological Science,Health Science,FALSE,Voluptas quia blanditiis. Non iure laborum. Fugit quia excepturi.,LTC,Consequatur ab esse. Voluptas esse quis. Facilis soluta cumque.,Quasi fugiat aut. Culpa porro autem. Ullam ducimus voluptas.,Application Deadline: 2019-04-03 | 37 Days Until Classes Begin!,Projected Per Credit Hour Cost: $57,GED or alternative credential,9,"$10,645 ",Dalton State College
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Nursing,Biomedical Science,FALSE,Nisi molestiae eum. Quia autem suscipit. Iure est soluta.,LTC,Doloribus neque expedita. Qui reprehenderit et. Delectus qui et.,Autem quaerat dolor. Esse eligendi et. Quos impedit rem.,Application Deadline: 2019-04-01 | 12 Days Until Classes Begin!,Projected Per Credit Hour Cost: $317,Kindergarten,98,"$15,370 ",Fort Valley State Unversity
https://images.unsplash.com/photo-1531630142108-cb432ed39657?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Commerce,Information Systems,TRUE,Quis dolores inventore. Dolor incidunt doloribus. Quia qui autem.,LTC,Suscipit sint et. Provident molestias ducimus. Quis vero rem.,Et odit alias. Laudantium consequatur ut. Provident molestiae exercitationem.,Application Deadline: 2019-04-06 | 9 Days Until Classes Begin!,Projected Per Credit Hour Cost: $128,Professional degree,132,"$3,866 ",Fort Valley State Unversity
https://images.unsplash.com/photo-1531630142108-cb432ed39657?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Medicine,Design,TRUE,Nulla enim expedita. Earum quidem sit. Expedita qui velit.,DASH,Quia quia architecto. Quibusdam temporibus consectetur. Possimus nemo aut.,Ut hic voluptatem. Est sapiente possimus. Maiores ex hic.,Application Deadline: 2019-03-29 | 8 Days Until Classes Begin!,Projected Per Credit Hour Cost: $31,Nursery school,93,"$16,400 ",Georgia College and State University
https://images.unsplash.com/photo-1525017467541-995c08c663cc?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Psychology,Nursing,TRUE,Voluptatem iusto facere. Voluptas natus non. Repudiandae mollitia perspiciatis.,DASH,Necessitatibus voluptatem suscipit. Iusto tenetur aut. Dolorum quis qui.,Optio sit laborum. Expedita soluta dolor. Quo aut doloremque.,Application Deadline: 2019-03-29 | 27 Days Until Classes Begin!,Projected Per Credit Hour Cost: $141,GED or alternative credential,44,"$9,237 ",Clayton State University
